,population
California,38965193
Texas,30503301
Florida,22610726
New York,19571216
Pennsylvania,12961683
Illinois,12549689
Ohio,11785935
Georgia,11029227
North Carolina,10835491
Michigan,10037261
New Jersey,9290841
Virginia,8715698
Washington,7812880
Arizona,7431344
Tennessee,7126489
Massachusetts,7001399
Indiana,6862199
Missouri,6196156
Maryland,6180253
Wisconsin,5910955
Colorado,5877610
Minnesota,5737915
South Carolina,5373555
Alabama,5108468
Louisiana,4573749
Kentucky,4526154
Oregon,4233358
Oklahoma,4053824
Connecticut,3617176
Utah,3417734
Iowa,3207004
Nevada,3194176
Arkansas,3067732
Kansas,2940546
Mississippi,2939690
New Mexico,2114371
Nebraska,1978379
Idaho,1964726
West Virginia,1770071
Hawaii,1435138
New Hampshire,1402054
Maine,1395722
Montana,1132812
Rhodes Island,1095962
Delaware,1031890
South Dakota,919318
North Dakota,783926
Alaska,733406
Vermont,647464
Wyoming,584057
District of Columbia,5490000
