,Name,Years active,Proven Victims,Possible Victims,Region where active,Notes,Ref
0,Albuquerque serial killer,2021–2022,2,4,NM,Suspected of killing four Muslim men in drive-by shootings from November 2021 to August 2022. Muhammad Syed was arrested and charged with two of the murders.,[786]
1,Alphabet murders,1971–1973,3,3,NY,"Also known as the ""Double Initial Murders""; murders of three young girls in the Rochester, New York area in the early 1970s",[787]
2,Ann Arbor Hospital murders,1975,10,10,MI,"Poisonings of 10 patients at the Veteran's Administration Hospital in 1975. Two nurses, Filipina Narciso and Leonora Perez, were convicted but a new trial was ordered because of prosecutorial misconduct. The prosecution chose to drop the charges rather than retry.",[788][789]
3,Atlanta child murders,1979–1981,28,30,GA,"A series of murders committed in Atlanta, Georgia, between July 1979 and May 1981. Over the two-year period, at least 28 children, adolescents, and adults were killed. Wayne Williams was charged and sentenced for the two adult murders, with 24 of the other murders attributed to him.",
4,Atlanta Lover's Lane Murders,1977,3,3,GA,A series of unsolved shootings on couples in Atlanta from January to March 1977,
5,Atlanta Ripper,1911,15,15–21,GA,Mystery murderer(s) of 15 Atlanta women in 1911,[790]
6,Axeman of New Orleans,1918–1919,6,6,LA,Responsible for the deaths of six or seven people in New Orleans and the surrounding areas from 1918 to 1919,[791]
7,Bag murders,1975–1977,6,6,NY,"Murders and dismemberment of gay men in Lower Manhattan, whose body parts were wrapped in garbage bags and thrown into the Hudson River; convicted murderer Paul Bateson was a prime suspect in the killings, but never charged",[792]
8,Bigfoot Killer,1975,7,7,MI,Raped and murdered sex workers in Detroit; nicknamed derived from the suspect's large hands and feet,[793]
9,Boston Strangler,1962–1964,13,13,MA,"1960s deaths of 13 women (five young, eight older), mostly with their own stockings as ligature. Albert DeSalvo confessed to the murders, but was never indicted; DNA evidence tested in 2013 suggested his guilt in one of the cases",[794]
10,Bouncing Ball Killer,1959–1960,6,7+,CA,"Series of murders targeted towards elderly women in Los Angeles; convicted murderer Raymond Ward Clemmons confessed to the murders, but he was never charged due to a lie detector proving he was being untruthful",[795]
11,Bra murders,1967–1971,5,5,CT,"Strangulations of five black women, mostly prostitutes and drug addicts, in Stamford, Connecticut; schizophrenic preacher Benjamin Franklin Miller was prosecuted for the crimes, but acquitted by reason of insanity, leaving his true guilt in question",[796]
12,Castration serial murders,1980–1986,2,5+,"WY, PA, UT, GA, CT",Series of murders of men who were shot in the back of the head and then castrated post-mortem,[797]
13,Charlie Chop-off,1972–1974,4,4,NY,Murders of five boys in Manhattan in 1972 and 1973. A mental patient confessed to one slashing death. Four stabbings also involving mutilation remain unsolved,[798]
14,Chicago Strangler,2001–2021,55,75+,IL,Raped and strangled predominantly African-American prostitutes and other vulnerable women in Chicago; could possibly be multiple serial killers,[799]
15,Cincinnati Strangler,1965–1966,7,7,OH,"Raped and strangled seven mostly elderly women in Cincinnati, Ohio, between 1965 and 1966; Cab driver Posteal Laskey Jr. is commonly believed to be culprit",[800]
16,Cleveland Torso Murderer,1935–1938,12,40+,OH,"Also known as the ""Mad Butcher of Kingsbury Run""; responsible for 12–13 murders in the Cleveland, Ohio area in the 1930s",[801]
17,Colonial Parkway Killer,1986–1989,8,8,VA,"Believed to have murdered at least eight people in Virginia between 1986 and 1989; left three couples dead and one couple missing and presumed dead.  In January 2024, authorities announced that at least two of the murders had been conclusively linked to an official suspect, Alan W. Wilmer Sr., a local fisherman who died in 2017. Wilmer was also identified as a suspect in an unrelated third murder.[802][803]",[804][805]
18,Columbus murders,1965–1966,3,3,OH,Three fatal shootings committed in Columbus and West Jefferson,[806]
19,Connecticut River Valley Killer,1978–1987,7,7+,"MA, NH, VT","Stabbed at least six women to death in New England in the 1980s, severely injured one",[807]
20,Cumminsville murders,1904–1910,5,5,OH,Series of brutal murders and mutilations of women in the Cincinnati neighborhood of South Cumminsville,[808]
21,Dayton Strangler,1900–1909,6,6,OH,"Murdered five women and one man in Dayton, Ohio, in the early 20th-century; one man was wrongfully convicted for the murders",[809]
22,Denver Prostitute Killer,1975–1995,17,27,CO,"Abducted, raped and strangled young girls and women around Denver and its various suburbs",[810]
23,Denver Strangler,1894–1903,3,5,CO,Strangled three prostitutes in Denver in 10 weeks; also thought to be responsible in two more murders,[811]
24,Doodler,1974–1975,6,16,CA,"Sketched then stabbed to death gay men in San Francisco, California in the 1970s",[812]
25,Dr. No,1981–1990,9,9+,"OH, IL, NY, PA","Suspected of raping and strangling prostitutes alongside the Interstate 71; his first suspected victim is Marcia King, who was identified in 2018. Samuel Legg III, a trucker, has been arrested and charged but thus far (as of 2020) is incompetent to stand trial. He is receiving psychiatric treatment while they try to restore competency.",[813][814]
26,Eastbound Strangler,2006,4,4,NJ,"Murdered four women near Atlantic City, New Jersey, in 2006.",[815][816]
27,Edgecombe County serial killer,2000s,9,10,NC,"Murders of nine women and disappearance of another since 2005 around Rocky Mount, North Carolina. Antwan Pittman has been convicted in one case",[817]
28,Flat-Tire murders,1975–1976,12,35,FL,"Killed young girls and women in Broward and Miami-Dade Counties by offering help with fixing their car tires, before he sexually assaulted them and drowned them in canals",[818]
29,Flint Serial Slasher,2009–2010,5,5,"MI, OH, VA","Stabbing attacks against mostly small-framed African-American men, with the main area being Flint, Michigan; an Israeli national, Elias Abuelazam, has been convicted in one of the murders and remains the prime suspect in the other four",[819]
30,Fort Myers Eight murders,Mid-1990s,8,8,FL,"The remains of eight adult men discovered murdered in a wooded area in Fort Myers, Florida, on March 23, 2007. The men are believed to have been at the location since the mid-1990s. Convicted murderer and serial rapist Daniel Conahan has been named as the prime suspect",[820][821]
31,Frankford Slasher,1985–1990,8,9,PA,"Allegedly responsible for nine murders in the Frankford neighborhood of Philadelphia, Pennsylvania; Leonard Christopher was convicted of one murder; another murder was committed in same style while he was incarcerated; believed to still be at large",[822][823]
32,Freeway Phantom,1971–1972,6,6,DC,"Raped and strangled six young women and girls in Washington, D.C., in the early 1970s, dumping their bodies by freeways",[824]
